"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","105,224,800",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,262,700,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","96,874,700",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,162,500,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","8,350,100",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","100,200,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,796,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, SHELL - BROKEN, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","193,119,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.79",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","638,383,500",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","7,660,600,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.21",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.26",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.05",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","72",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","755,641,400",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,067,700,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","105",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","242,607,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","54,347,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","160,794,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,466,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","109,491,400",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,313,900,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","101,341,600",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,216,100,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","8,149,800",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","97,800,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","20,157,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, SHELL - BROKEN, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","191,474,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.3",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","646,150,000",""
"SURVEY","2024","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","7,753,800,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.34",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.35",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","3.61",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","83",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","759,633,300",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,115,600,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","120",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","238,164,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","53,652,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","157,425,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,087,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","106,924,800",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,283,100,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","98,966,600",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,187,600,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","7,958,200",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","95,500,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","18,786,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, SHELL - BROKEN, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","182,307,000",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.61",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","652,708,500",""
"SURVEY","2024","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","7,832,500,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.38",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.29",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.08",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","720,357,800",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","8,644,300,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","115",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","230,455,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","57,559,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","143,181,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","29,715,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","102,066,300",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,224,800,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","94,066,500",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,128,800,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","7,999,800",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","96,000,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,788,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, SHELL - BROKEN, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","177,083,000",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.3",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","618,291,500",""
"SURVEY","2024","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","7,419,500,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.13",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.27",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.85",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","771,075,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,252,900,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","115",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","249,731,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","62,960,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","154,965,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","31,806,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","108,391,600",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,300,700,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","99,983,400",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,199,800,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","8,408,200",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","100,900,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","20,056,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, SHELL - BROKEN, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","194,208,000",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.01",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","662,683,400",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, TABLE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","7,952,200,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.4",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.29",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.69",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","751,575,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,018,900,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","89.2",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","247,672,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","60,562,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","156,642,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,468,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","108,333,300",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,300,000,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","99,916,600",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, BROILER TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","1,199,000,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","8,416,700",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, HATCHING, EGG TYPE - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","101,000,000",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, INEDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,556,000",""
